"relative_key (no ext, '.baseline' normalized away in JSON)",has_MD,has_JSON
05_stress_math/math_heavy__case_19,True,True
05_stress_math/math_heavy__case_20,True,True
05_stress_math/math_heavy__case_21,True,True
05_stress_math/math_heavy__case_22,True,True
05_stress_math/math_heavy__case_23,True,True
05_stress_math/math_heavy__case_24,True,True
05_stress_math/math_heavy__case_25,True,True
05_stress_math/math_heavy__case_26,True,True
05_stress_math/math_heavy__case_27,True,True
05_stress_math/math_heavy__case_28,True,True
05_stress_math/math_heavy__case_29,True,True
05_stress_math/math_heavy__case_30,True,True
06_stress_links/link_flood__case_01,True,True
06_stress_links/link_flood__case_02,True,True
06_stress_links/link_flood__case_03,True,True
06_stress_links/link_flood__case_04,True,True
06_stress_links/link_flood__case_05,True,True
06_stress_links/link_flood__case_06,True,True
06_stress_links/link_flood__case_07,True,True
06_stress_links/link_flood__case_08,True,True
06_stress_links/link_flood__case_09,True,True
06_stress_links/link_flood__case_10,True,True
06_stress_links/link_flood__case_11,True,True
06_stress_links/link_flood__case_12,True,True
06_stress_links/link_flood__case_13,True,True
06_stress_links/link_flood__case_14,True,True
06_stress_links/link_flood__case_15,True,True
06_stress_links/link_flood__case_16,True,True
06_stress_links/link_flood__case_17,True,True
06_stress_links/link_flood__case_18,True,True
06_stress_links/link_flood__case_19,True,True
06_stress_links/link_flood__case_20,True,True
06_stress_links/link_flood__case_21,True,True
06_stress_links/link_flood__case_22,True,True
06_stress_links/link_flood__case_23,True,True
06_stress_links/link_flood__case_24,True,True
06_stress_links/link_flood__case_25,True,True
06_stress_links/link_flood__case_26,True,True
06_stress_links/link_flood__case_27,True,True
06_stress_links/link_flood__case_28,True,True
06_stress_links/link_flood__case_29,True,True
06_stress_links/link_flood__case_30,True,True
07_stress_html/html_chaos__case_01,True,True
07_stress_html/html_chaos__case_02,True,True
07_stress_html/html_chaos__case_03,True,True
07_stress_html/html_chaos__case_04,True,True
07_stress_html/html_chaos__case_05,True,True
07_stress_html/html_chaos__case_06,True,True
07_stress_html/html_chaos__case_07,True,True
07_stress_html/html_chaos__case_08,True,True
07_stress_html/html_chaos__case_09,True,True
07_stress_html/html_chaos__case_10,True,True
07_stress_html/html_chaos__case_11,True,True
07_stress_html/html_chaos__case_12,True,True
07_stress_html/html_chaos__case_13,True,True
07_stress_html/html_chaos__case_14,True,True
07_stress_html/html_chaos__case_15,True,True
07_stress_html/html_chaos__case_16,True,True
07_stress_html/html_chaos__case_17,True,True
07_stress_html/html_chaos__case_18,True,True
07_stress_html/html_chaos__case_19,True,True
07_stress_html/html_chaos__case_20,True,True
07_stress_html/html_chaos__case_21,True,True
07_stress_html/html_chaos__case_22,True,True
07_stress_html/html_chaos__case_23,True,True
07_stress_html/html_chaos__case_24,True,True
07_stress_html/html_chaos__case_25,True,True
07_stress_html/html_chaos__case_26,True,True
07_stress_html/html_chaos__case_27,True,True
07_stress_html/html_chaos__case_28,True,True
07_stress_html/html_chaos__case_29,True,True
07_stress_html/html_chaos__case_30,True,True
08_stress_indentation/bad_indentation__case_01,True,True
08_stress_indentation/bad_indentation__case_02,True,True
08_stress_indentation/bad_indentation__case_03,True,True
08_stress_indentation/bad_indentation__case_04,True,True
08_stress_indentation/bad_indentation__case_05,True,True
08_stress_indentation/bad_indentation__case_06,True,True
08_stress_indentation/bad_indentation__case_07,True,True
08_stress_indentation/bad_indentation__case_08,True,True
08_stress_indentation/bad_indentation__case_09,True,True
08_stress_indentation/bad_indentation__case_10,True,True
08_stress_indentation/bad_indentation__case_11,True,True
08_stress_indentation/bad_indentation__case_12,True,True
08_stress_indentation/bad_indentation__case_13,True,True
08_stress_indentation/bad_indentation__case_14,True,True
08_stress_indentation/bad_indentation__case_15,True,True
08_stress_indentation/bad_indentation__case_16,True,True
08_stress_indentation/bad_indentation__case_17,True,True
08_stress_indentation/bad_indentation__case_18,True,True
08_stress_indentation/bad_indentation__case_19,True,True
08_stress_indentation/bad_indentation__case_20,True,True
08_stress_indentation/bad_indentation__case_21,True,True
08_stress_indentation/bad_indentation__case_22,True,True
08_stress_indentation/bad_indentation__case_23,True,True
08_stress_indentation/bad_indentation__case_24,True,True
08_stress_indentation/bad_indentation__case_25,True,True
08_stress_indentation/bad_indentation__case_26,True,True
08_stress_indentation/bad_indentation__case_27,True,True
08_stress_indentation/bad_indentation__case_28,True,True
08_stress_indentation/bad_indentation__case_29,True,True
08_stress_indentation/bad_indentation__case_30,True,True
09_stress_huge_tables/huge_tables__case_01,True,True
09_stress_huge_tables/huge_tables__case_02,True,True
09_stress_huge_tables/huge_tables__case_03,True,True
09_stress_huge_tables/huge_tables__case_04,True,True
09_stress_huge_tables/huge_tables__case_05,True,True
09_stress_huge_tables/huge_tables__case_06,True,True
09_stress_huge_tables/huge_tables__case_07,True,True
09_stress_huge_tables/huge_tables__case_08,True,True
09_stress_huge_tables/huge_tables__case_09,True,True
09_stress_huge_tables/huge_tables__case_10,True,True
09_stress_huge_tables/huge_tables__case_11,True,True
09_stress_huge_tables/huge_tables__case_12,True,True
09_stress_huge_tables/huge_tables__case_13,True,True
09_stress_huge_tables/huge_tables__case_14,True,True
09_stress_huge_tables/huge_tables__case_15,True,True
09_stress_huge_tables/huge_tables__case_16,True,True
09_stress_huge_tables/huge_tables__case_17,True,True
09_stress_huge_tables/huge_tables__case_18,True,True
09_stress_huge_tables/huge_tables__case_19,True,True
