/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:747: [PIN-YML-006] Invalid value 'DoxBaseModel'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:759: [PIN-YML-006] Invalid value 'str'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:762: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:763: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:764: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:765: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:776: [PIN-YML-006] Invalid value '0'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:777: [PIN-YML-006] Invalid value '0'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:778: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:779: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:780: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:781: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:782: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:797: [PIN-YML-006] Invalid value 'None'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:835: [PIN-YML-006] Invalid value 'Create'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:841: [PIN-YML-006] Invalid value 'Minimal'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:857: [PIN-YML-006] Invalid value 'Top'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:908: [PIN-YML-006] Invalid value 'Early'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:935: [PIN-YML-006] Invalid value 'Script'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:937: [PIN-YML-006] Invalid value 'Dangerous'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:957: [PIN-YML-006] Invalid value 'links'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:961: [PIN-YML-006] Invalid value 'alert'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:971: [PIN-YML-006] Invalid value 'should'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:982: [PIN-YML-006] Invalid value 'javascript'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1011: [PIN-YML-006] Invalid value 'Metadata'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1028: [PIN-YML-006] Invalid value 'Add'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1038: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1039: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1040: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1050: [PIN-YML-006] Invalid value 'Metadata'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1051: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1052: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1053: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1058: [PIN-YML-006] Invalid value 'Structure'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1068: [PIN-YML-006] Invalid value 'Content'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1075: [PIN-YML-006] Invalid value 'str'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1076: [PIN-YML-006] Invalid value 'list'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1079: [PIN-YML-006] Invalid value 'int'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1080: [PIN-YML-006] Invalid value 'int'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1081: [PIN-YML-006] Invalid value 'str'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1084: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1085: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1086: [PIN-YML-006] Invalid value 'list'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1087: [PIN-YML-006] Invalid value 'list'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1088: [PIN-YML-006] Invalid value 'list'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1096: [PIN-YML-006] Invalid value 'Sections'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1106: [PIN-YML-006] Invalid value 'Lists'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1118: [PIN-YML-006] Invalid value 'Tables'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1128: [PIN-YML-006] Invalid value 'Links'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1158: [PIN-YML-006] Invalid value 'DocumentIR'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1196: [PIN-YML-006] Invalid value 'str'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1210: [PIN-YML-006] Invalid value 'heading'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1231: [PIN-YML-006] Invalid value 'Schema'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1239: [PIN-YML-006] Invalid value 'F401'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1278: [PIN-YML-006] Invalid value 'links'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1296: [PIN-YML-006] Invalid value 'Validation'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1304: [PIN-YML-006] Invalid value 'Curated'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1325: [PIN-YML-006] Invalid value 'Curated'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1334: [PIN-YML-006] Invalid value 'Path'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1346: [PIN-YML-006] Invalid value 'Fixture'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1361: [PIN-YML-006] Invalid value 'Path'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1367: [PIN-YML-006] Invalid value 'path'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1368: [PIN-YML-006] Invalid value 'path'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1369: [PIN-YML-006] Invalid value 'everything'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1386: [PIN-YML-006] Invalid value 'Legacy'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1395: [PIN-YML-006] Invalid value 'Only'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1396: [PIN-YML-006] Invalid value 'DO'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1409: [PIN-YML-006] Invalid value 'Legacy'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1437: [PIN-YML-006] Invalid value 'str'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1473: [PIN-YML-006] Invalid value 'Full'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1479: [PIN-YML-006] Invalid value 'Full'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1494: [PIN-YML-006] Invalid value 'Path'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1501: [PIN-YML-006] Invalid value '100'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1506: [PIN-YML-006] Invalid value 'CI'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1535: [PIN-YML-006] Invalid value 'Schema'. Must be one of: uv, npm, cargo, go, poetry, pipenv
